#
# psql -h helsten.dsl.xmission.com -d lossrecovery
# -c "select alpha2,alpha3,name from oft_ref.iso639_list 
#     where lang2='en' order by alpha2;"
# -o ISO639.txt 
#
 aa     | aar    | Afar
 ab     | abk    | Abkhazian
 ae     | ave    | Avestan
 af     | afr    | Afrikaans
 ak     | aka    | Akan
 am     | amh    | Amharic
 an     | arg    | Aragonese
 ar     | ara    | Arabic
 as     | asm    | Assamese
 av     | ava    | Avaric
 ay     | aym    | Aymara
 az     | aze    | Azerbaijani
 ba     | bak    | Bashkir
 be     | bel    | Belarusian
 bg     | bul    | Bulgarian
 bh     | bih    | Bihari
 bi     | bis    | Bislama
 bm     | bam    | Bambara
 bn     | ben    | Bengali
 bo     | tib    | Tibetan
 br     | bre    | Breton
 bs     | bos    | Bosnian
 ca     | cat    | Catalan; Valencian
 ce     | che    | Chechen 
 ch     | cha    | Chamorro
 co     | cos    | Corsican
 cr     | cre    | Cree
 cs     | cze    | Czech
 cu     | chu    | Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic
 cv     | chv    | Chuvash
 cy     | wel    | Welsh
 da     | dan    | Danish 
 de     | ger    | German
 dv     | div    | Divehi
 dz     | dzo    | Dzongkha
 ee     | ewe    | Ewe
 el     | gre    | Greek, Modern (1453-)
 en     | eng    | English
 eo     | epo    | Esperanto
 es     | spa    | Spanish; Castilian
 et     | est    | Estonian
 eu     | baq    | Basque
 fa     | per    | Persian
 ff     | ful    | Fulah
 fi     | fin    | Finnish
 fj     | fij    | Fijian
 fo     | fao    | Faroese
 fr     | fre    | French
 fy     | fry    | Western Frisian
 ga     | gle    | Irish
 gd     | gla    | Gaelic; Scottish Gaelic
 gl     | glg    | Galician
 gn     | grn    | Guarani
 gu     | guj    | Gujarati
 gv     | glv    | Manx
 ha     | hau    | Hausa
 he     | heb    | Hebrew
 hi     | hin    | Hindi 
 ho     | hmo    | Hiri Motu
 hr     | scr    | Croatian
 ht     | hat    | Haitian; Haitian Creole
 hu     | hun    | Hungarian
 hy     | arm    | Armenian
 hz     | her    | Herero
 ia     | ina    | Interlingua (International Auxiliary Language Association)
 id     | ind    | Indonesian
 ie     | ile    | Interlingue
 ig     | ibo    | Igbo
 ii     | iii    | Sichuan Yi
 ik     | ipk    | Inupiaq
 io     | ido    | Ido
 is     | ice    | Icelandic
 it     | ita    | Italian
 iu     | iku    | Inuktitut
 ja     | jpn    | Japanese
 jv     | jav    | Javanese
 ka     | geo    | Georgian
 kg     | kon    | Kongo
 ki     | kik    | Kikuyu; Gikuyu
 kj     | kua    | Kuanyama; Kwanyama
 kk     | kaz    | Kazakh
